security_id,market,name,ticker,end_month,outcome,outcome_source,value_realising,first_month,months_listed,delisting_notice
ASX:NEN,AU,Neon Capital Ltd,NEN,2016-12,delisted,own_delisting_notice,,2016-12,1,2017-02-23
ASX:AYD,AU,Australian Masters Yield Fund No 1 Limited,AYD,2017-05,delisted,own_delisting_notice,,2016-12,6,2017-07-28
ASX:AYH,AU,Australian Masters Yield Fund No 2 Limited,AYH,2017-05,delisted,own_delisting_notice,,2016-12,6,2017-07-28
ASX:AYJ,AU,Australian Masters Yield Fund No 3 Limited,AYJ,2018-02,delisted,own_delisting_notice,,2016-12,15,2018-04-13
ASX:AUF,AU,Asian Masters Fund Limited,AUF,2018-03,delisted,own_delisting_notice,,2016-12,16,2018-05-17
ASX:AQF,AU,Australian Governance Masters Index Fund Limited,AQF,2018-05,delisted,own_delisting_notice,,2016-12,18,2018-07-16
ASX:IPE,AU,IPE Limited,IPE,2018-08,delisted,own_delisting_notice,,2016-12,21,2018-10-19
ASX:WDE,AU,Wealth Defender Equities Limited,WDE,2018-10,delisted,own_delisting_notice,,2016-12,23,2018-12-11
ASX:CYA,AU,Century Australia Investments Limited,CYA,2019-01,delisted,own_delisting_notice,,2016-12,26,2019-03-05
ASX:WGF,AU,Watermark Global Leaders Fund Limited,WGF,2019-02,delisted,own_delisting_notice,,2016-12,27,2019-04-29
ASX:WMK,AU,Watermark Market Neutral Fund Limited,WMK,2019-02,delisted,own_delisting_notice,,2016-12,27,2019-04-29
ASX:AYK,AU,Australian Masters Yield Fund No 4 Limited,AYK,2019-07,delisted,own_delisting_notice,,2016-12,32,2019-11-27
ASX:AYZ,AU,Australian Masters Yield Fund No 5 Limited,AYZ,2019-07,delisted,own_delisting_notice,,2016-12,32,2019-11-27
ASX:CBC,AU,CBG Capital Limited,CBC,2019-07,delisted,own_delisting_notice,,2016-12,32,2019-09-25
ASX:MVT,AU,Mercantile Investment Company Ltd,MVT,2019-08,delisted,own_delisting_notice,,2016-12,33,2019-10-17
ASX:URB,AU,URB Investments Limited,URB,2019-10,delisted,own_delisting_notice,,2017-03,32,2019-12-22
ASX:HML,AU,Henry Morgan Limited,HML,2019-12,delisted,own_delisting_notice,,2016-12,37,2020-02-02
ASX:EGI,AU,Ellerston Global Investments Limited,EGI,2020-06,delisted,own_delisting_notice,,2016-12,43,2020-08-24
ASX:MGG,AU,Magellan Global Trust,MGG,2020-09,delisted,own_delisting_notice,,2017-09,37,2020-12-09
ASX:EAF,AU,Evans & Partners Asia Fund,EAF,2020-11,delisted,own_delisting_notice,,2018-04,32,2021-01-28
ASX:EGD,AU,Evans & Partners Global Disruption Fund,EGD,2020-11,delisted,own_delisting_notice,,2017-07,41,2021-01-28
ASX:EGF,AU,Evans & Partners Global Flagship Fund,EGF,2020-11,delisted,own_delisting_notice,,2018-06,30,2021-01-28
ASX:AGM,AU,Australian Governance & Ethical Index Fund,AGM,2020-12,delisted,own_delisting_notice,,2018-07,30,2021-02-17
ASX:CVF,AU,Contrarian Value Fund Limited,CVF,2020-12,delisted,own_delisting_notice,,2017-10,39,2021-02-25
ASX:EFF,AU,Evans & Partners Australian Flagship Fund,EFF,2020-12,delisted,own_delisting_notice,,2018-05,32,2021-02-17
ASX:ABW,AU,Aurora Absolute Return Fund,ABW,2021-01,delisted,own_delisting_notice,,2016-12,50,2021-02-28
ASX:ALF,AU,Australian Leaders Fund Limited,ALF,2021-01,delisted,own_delisting_notice,,2016-12,50,2021-03-28
ASX:CLF,AU,Concentrated Leaders Fund Limited,CLF,2021-02,delisted,own_delisting_notice,,2018-03,36,2021-04-19
ASX:MLT,AU,Milton Corporation Limited,MLT,2021-08,delisted,own_delisting_notice,,2016-12,57,2021-10-06
ASX:MAX,AU,Millinium's Alternatives Fund,MAX,2021-09,delisted,own_delisting_notice,,2016-12,58,2021-11-30
ASX:TGG,AU,Templeton Global Growth Fund Limited,TGG,2021-09,delisted,own_delisting_notice,,2016-12,58,2021-11-01
ASX:APL,AU,Antipodes Global Investment Company Ltd,APL,2021-10,delisted,own_delisting_notice,,2016-12,59,2021-12-16
ASX:PAF,AU,PM Capital Asian Opportunities Fund Limited,PAF,2022-01,delisted,own_delisting_notice,,2016-12,62,2022-03-28
ASX:AUP,AU,Aurora Property Buy-Write Income Trust,AUP,2022-02,delisted,own_delisting_notice,,2016-12,63,2022-04-28
ASX:OZG,AU,Ozgrowth Limited,OZG,2022-02,delisted,own_delisting_notice,,2016-12,63,2022-04-22
ASX:WIC,AU,Westoz Investment Company Limited,WIC,2022-02,delisted,own_delisting_notice,,2016-12,63,2022-04-22
ASX:HHY,AU,HHY Fund,HHY,2022-06,delisted,own_delisting_notice,,2016-12,67,2022-08-29
ASX:AEG,AU,Absolute Equity Performance Fund Limited,AEG,2022-08,delisted,own_delisting_notice,,2016-12,69,2022-10-04
ASX:LAN,AU,Lanyon Investment Company Limited,LAN,2022-08,delisted,own_delisting_notice,,2021-09,12,2022-10-16
ASX:SVS,AU,Sunvest Corporation Limited,SVS,2022-08,delisted,own_delisting_notice,,2016-12,69,2022-10-19
ASX:WLS,AU,WCM Global Long Short Limited,WLS,2022-11,delisted,own_delisting_notice,,2021-06,18,2023-01-12
ASX:EAI,AU,Ellerston Asian Investments Limited,EAI,2023-04,delisted,own_delisting_notice,,2016-12,77,2023-06-05
ASX:AIB,AU,Aurora Global Income Trust,AIB,2023-08,delisted,own_delisting_notice,,2016-12,81,2023-08-28
ASX:PGG,AU,Partners Group Global Income Fund,PGG,2023-09,delisted,own_delisting_notice,,2019-08,50,2023-11-21
ASX:NBI,AU,NB Global Corporate Income Trust,NBI,2024-03,delisted,own_delisting_notice,,2018-08,68,2024-05-14
ASX:FOR,AU,Forager Australian Shares Fund,FOR,2024-05,delisted,own_delisting_notice,,2016-12,90,2024-06-14
ASX:MGF,AU,Magellan Global Fund - Closed Class Units,MGF,2024-05,delisted,own_delisting_notice,,2020-10,44,2024-07-22
ASX:QVE,AU,QV Equities Limited,QVE,2024-05,delisted,own_delisting_notice,,2016-12,90,2024-07-16
ASX:ZER,AU,Zeta Resources Limited,ZER,2024-08,delisted,own_delisting_notice,,2016-12,93,2024-10-16
ASX:FPP,AU,Fat Prophets Global Property Fund,FPP,2025-02,delisted,own_delisting_notice,,2017-09,90,2025-04-16
ASX:PAI,AU,Platinum Asia Investments Limited,PAI,2025-06,delisted,own_delisting_notice,,2016-12,103,2025-08-25
ASX:DUI,AU,Diversified United Investment Limited,DUI,2026-03,delisted,own_delisting_notice,,2016-12,112,2026-05-01
SEDOL:B020KN0,UK,Pantheon International Participations R shares,,2006-12,unresolved,panel_terminal,,2005-12,13,
SEDOL:B02T219,UK,Baronsmead VCT 2 C shares,,2006-12,unresolved,panel_terminal,,2006-12,1,
SEDOL:3050949,UK,Investors Capital,,2007-01,departed,panel_terminal,False,2007-01,1,
SEDOL:3050961,UK,Investors Capital,,2007-01,departed,panel_terminal,False,2007-01,1,
SEDOL:3050972,UK,Investors Capital,,2007-01,departed,panel_terminal,False,2007-01,1,
SEDOL:3253953,UK,Jubilee Investment Trust,,2007-01,unresolved,panel_terminal,,2006-12,2,
SEDOL:463584,UK,Platinum,,2007-01,liquidated,panel_terminal,True,2007-01,1,
SEDOL:659941,UK,Old Mutual South Africa,,2007-01,liquidated,panel_terminal,True,2007-01,1,
SEDOL:B18CC19,UK,Principle Capital C shares,,2007-01,unresolved,panel_terminal,,2007-01,1,
SEDOL:3204218,UK,Close Brothers Development VCT C shares,,2007-02,unresolved,panel_terminal,,2006-10,5,
SEDOL:958477,UK,Close Finsbury EuroTech,,2007-02,liquidated,panel_terminal,True,2007-01,2,
SEDOL:B1N0T84,UK,Alternative Investment Strategies C shares,,2007-02,unresolved,panel_terminal,,2007-02,1,
SEDOL:567000,UK,Martin Currie Income & Growth,,2007-03,reconstructed,panel_terminal,True,2007-01,3,
SEDOL:568724,UK,Martin Currie Income & Growth,,2007-03,reconstructed,panel_terminal,True,2007-01,3,
SEDOL:568809,UK,Martin Currie Income & Growth,,2007-03,reconstructed,panel_terminal,True,2007-01,3,
SEDOL:661593,UK,Small Companies Dividend,SDVZ,2007-03,departed,panel_terminal,False,2007-01,3,
SEDOL:B067N38,UK,Baronsmead VCT C shares,,2007-03,unresolved,panel_terminal,,2006-12,4,
SEDOL:B1P8HX7,UK,Midas Income & Growth C shares,,2007-03,unresolved,panel_terminal,,2007-03,1,
SEDOL:B04KJJ7,UK,British Smaller Companies VCT C shares,,2007-04,unresolved,panel_terminal,,2007-01,4,
SEDOL:B1LP1B8,UK,International Biotechnology C shares,,2007-04,unresolved,panel_terminal,,2007-02,3,
SEDOL:B1N92H1,UK,Gartmore Growth Opportunities C shares,,2007-04,unresolved,panel_terminal,,2007-03,2,
NAME:core vct iii b|ordinary share,UK,Core VCT III B shares,,2007-05,unresolved,panel_terminal,,2007-01,5,
SEDOL:B00JZX4,UK,Utilico,,2007-05,reorganised,panel_terminal,False,2007-01,5,
SEDOL:B02VD56,UK,Langley Park,,2007-05,liquidated,panel_terminal,True,2007-02,4,
SEDOL:B03FH99,UK,Core VCT I B shares,,2007-05,unresolved,panel_terminal,,2007-01,5,
SEDOL:B03FJB5,UK,Core VCT II B shares,,2007-05,unresolved,panel_terminal,,2007-01,5,
SEDOL:B1NB0T5,UK,Downing Protected VCT VI A shares,,2007-05,unresolved,panel_terminal,,2007-05,1,
SEDOL:B1NB0V7,UK,Downing Protected VCT VII A shares,,2007-05,unresolved,panel_terminal,,2007-05,1,
SEDOL:B1QHMQ1,UK,AcenciA Debt Strategies C shares,,2007-05,unresolved,panel_terminal,,2007-02,4,
SEDOL:486912,UK,Rutland Trust,,2007-06,merged,panel_terminal,True,2007-01,6,
SEDOL:3076031,UK,Recovery Trust,,2007-07,liquidated,panel_terminal,True,2007-01,7,
SEDOL:3076053,UK,Recovery Trust,,2007-07,liquidated,panel_terminal,True,2007-01,7,
SEDOL:B1L0P66,UK,Baronsmead AIM VCT C shares,,2007-07,unresolved,panel_terminal,,2007-03,5,
SEDOL:B0S49V7,UK,Tribune UK Tracker,,2007-08,merged,panel_terminal,True,2007-01,8,
SEDOL:453110,UK,INVESCO Japan Discovery,,2007-09,liquidated,panel_terminal,True,2007-01,9,
SEDOL:B1Z9707,UK,Jupiter Green C shares,,2007-10,unresolved,panel_terminal,,2007-07,4,
SEDOL:B2425D3,UK,Tapestry C shares,,2007-10,unresolved,panel_terminal,,2007-09,2,
SEDOL:B235SB2,UK,Impax Environmental Markets C shares,,2007-11,unresolved,panel_terminal,,2007-09,3,
SEDOL:B0GDRP6,UK,Baronsmead VCT 3 C shares,,2007-12,unresolved,panel_terminal,,2006-12,13,
SEDOL:476117,UK,European Utilities,,2008-01,reconstructed,panel_terminal,True,2007-01,13,
SEDOL:476128,UK,European Utilities,,2008-01,reconstructed,panel_terminal,True,2007-01,13,
SEDOL:634874,UK,New Zealand,,2008-01,liquidated,panel_terminal,True,2007-01,13,
SEDOL:3098314,UK,Resources Investment Trust,,2008-02,unresolved,panel_terminal,,2007-01,14,
SEDOL:B29MWP9,UK,Utilico Emerging Markets C shares (AIM),,2008-02,unresolved,panel_terminal,,2007-12,3,
SEDOL:248167,UK,Close Brothers AIM VCT,,2008-04,unresolved,panel_terminal,,2007-01,16,
SEDOL:B1BV3Z4,UK,Talisman First VCT,MIG6,2008-04,unresolved,panel_terminal,,2007-05,12,
SEDOL:3031290,UK,US Special Opportunities,,2008-05,reorganised,panel_terminal,False,2007-01,17,
SEDOL:699248,UK,Prelude Trust,,2008-05,unresolved,panel_terminal,,2007-01,17,
SEDOL:B1GGVL6,UK,MW TOPS Euro (Euronext),,2008-05,unresolved,panel_terminal,,2007-10,8,
SEDOL:B1GGVM7,UK,MW TOPS (Euronext),,2008-05,unresolved,panel_terminal,,2007-10,8,
SEDOL:B1GGVN8,UK,MW TOPS USD (Euronext),,2008-05,unresolved,panel_terminal,,2007-10,8,
SEDOL:B2PW2P3,UK,Babcock & Brown C shares,,2008-05,unresolved,panel_terminal,,2008-04,2,
SEDOL:448451,UK,Bluehone AIM VCT,,2008-06,merged,panel_terminal,True,2007-01,18,
SEDOL:789235,UK,SVG Capital,SVI,2008-06,unresolved,panel_terminal,,2007-01,18,
SEDOL:822022,UK,Zero Preference Growth,,2008-07,liquidated,panel_terminal,True,2007-01,19,
SEDOL:822196,UK,Zero Preference Growth,,2008-07,liquidated,panel_terminal,True,2007-01,19,
SEDOL:B05L0J6,UK,Ingenious Music VCT,,2008-07,liquidated,panel_terminal,True,2007-04,16,
NAME:royal london uk equity and income|income annuity,UK,Royal London UK Equity & Income,,2008-08,liquidated,panel_terminal,True,2007-01,20,
SEDOL:258296,UK,Enterprise VCT,,2008-08,merged,panel_terminal,True,2007-01,20,
SEDOL:3079405,UK,Royal London UK Equity & Income,,2008-08,liquidated,panel_terminal,True,2006-03,30,
SEDOL:3079416,UK,Royal London UK Equity & Income,,2008-08,liquidated,panel_terminal,True,2007-01,20,
SEDOL:633310,UK,Framlington Income & Capital,,2008-08,liquidated,panel_terminal,True,2007-01,20,
SEDOL:633354,UK,Framlington Income & Capital,,2008-08,liquidated,panel_terminal,True,2007-01,20,
SEDOL:B09NK11,UK,KGR Absolute Return C shares,,2008-08,unresolved,panel_terminal,,2008-07,2,
SEDOL:388728,UK,Gresham House,,2008-09,unresolved,panel_terminal,,2007-03,19,
SEDOL:529914,UK,Life Offices Opportunities,,2008-09,liquidated,panel_terminal,True,2007-01,21,
SEDOL:B068X31,UK,Elderstreet VCT C shares,,2008-09,unresolved,panel_terminal,,2007-06,16,
SEDOL:B0D5V53,UK,Raven Russia (AIM),,2008-09,unresolved,panel_terminal,,2007-10,12,
SEDOL:B0LSPY1,UK,Keydata AIM VCT C shares,,2008-09,unresolved,panel_terminal,,2007-01,21,
SEDOL:B0M9M31,UK,Ingenious Music VCT 2,,2008-09,unresolved,panel_terminal,,2007-04,18,
SEDOL:B29YCK0,UK,Absolute Return Trust C shares,,2008-09,unresolved,panel_terminal,,2008-01,9,
SEDOL:682958,UK,Perpetual Japanese,,2008-11,liquidated,panel_terminal,True,2007-01,23,
SEDOL:B1XCBD9,UK,F&C Event Driven,,2008-11,liquidated,panel_terminal,True,2007-11,13,
SEDOL:B0WV8X9,UK,Baronsmead VCT 4 C shares,,2008-12,unresolved,panel_terminal,,2006-12,25,
SEDOL:532309,UK,Gartmore Smaller Companies,,2009-01,reconstructed,panel_terminal,True,2007-01,25,
SEDOL:B0672L9,UK,Phoenix VCT C shares,,2009-01,unresolved,panel_terminal,,2007-01,25,
SEDOL:B0T9K29,UK,ACP Capital (AIM),,2009-01,unresolved,panel_terminal,,2008-06,8,
SEDOL:B18J027,UK,ACP Mezzanine (AIM),,2009-01,unresolved,panel_terminal,,2008-05,9,
SEDOL:B1D5SN7,UK,Prosperity Voskhod (AIM),,2009-01,unresolved,panel_terminal,,2008-02,12,
SEDOL:B28B2R9,UK,Ceres Agriculture,,2009-01,unresolved,panel_terminal,,2008-02,12,
SEDOL:3016703,UK,Artemis AIM VCT,,2009-02,merged,panel_terminal,True,2007-01,26,
SEDOL:3019746,UK,Investec High Income,,2009-02,liquidated,panel_terminal,True,2007-01,26,
SEDOL:3019779,UK,Investec High Income,,2009-02,liquidated,panel_terminal,True,2007-01,26,
SEDOL:3119389,UK,M&G Recovery,,2009-02,reconstructed,panel_terminal,True,2007-01,26,
SEDOL:3119390,UK,M&G Recovery,,2009-02,reconstructed,panel_terminal,True,2007-01,26,
SEDOL:B0WH8F9,UK,Aberdeen Growth Opportunities VCT C shares,,2009-02,unresolved,panel_terminal,,2007-01,26,
SEDOL:B1GJR06,UK,Signet Global Fixed Income Strategies Euro,,2009-02,reconstructed,panel_terminal,True,2007-10,17,
SEDOL:3132632,UK,Ecofin Water & Power Opportunities,ECWO,2009-03,unresolved,panel_terminal,,2007-01,27,
SEDOL:3132643,UK,Ecofin Water & Power Opportunities,ECWO,2009-03,unresolved,panel_terminal,,2007-01,27,
SEDOL:3152845,UK,Smaller Companies Value Trust,,2009-03,unresolved,panel_terminal,,2006-11,29,
SEDOL:3152856,UK,Smaller Companies Value Trust,,2009-03,unresolved,panel_terminal,,2006-11,29,
SEDOL:B0YK8W3,UK,Neptune-Calculus Income & Growth VCT C shares,,2009-03,unresolved,panel_terminal,,2007-01,27,
SEDOL:B1LT574,UK,Prosperity Russia Domestic (AIM),,2009-03,unresolved,panel_terminal,,2008-02,14,
SEDOL:B0RFCD4,UK,Octopus Second AIM VCT C shares,,2009-05,unresolved,panel_terminal,,2007-01,29,
SEDOL:B3KHF28,UK,Standard Life UK Smaller Cos Continuation shares,,2009-05,unresolved,panel_terminal,,2009-02,4,
SEDOL:B03FH33,UK,Core VCT I,,2009-06,merged,panel_terminal,True,2007-01,30,
SEDOL:B03FJ60,UK,Core VCT II,,2009-06,merged,panel_terminal,True,2007-01,30,
SEDOL:B1GJQX2,UK,Signet Global Fixed Income Strategies USD,,2009-06,reconstructed,panel_terminal,True,2007-10,21,
SEDOL:B3CCM75,UK,Foresight 3 VCT C shares,,2009-06,unresolved,panel_terminal,,2008-09,10,
SEDOL:3038332,UK,Active Capital,,2009-08,unresolved,panel_terminal,,2007-01,32,
SEDOL:920227,UK,Gateway VCT,,2009-08,merged,panel_terminal,True,2008-11,10,
SEDOL:B0JR9G0,UK,Octopus IHT AIM VCT B,,2009-08,unresolved,panel_terminal,,2007-01,32,
SEDOL:B0RFCM3,UK,Octopus Second AIM VCT D shares,,2009-08,unresolved,panel_terminal,,2007-01,32,
SEDOL:B1BPPM7,UK,Dexion Absolute AUD,,2009-08,reconstructed,panel_terminal,True,2008-06,15,
SEDOL:323406,UK,Invesco Perpetual European Absolute,,2009-09,unresolved,panel_terminal,,2007-01,33,
SEDOL:B02WRR9,UK,Jupiter Second Enhanced Income,,2009-09,reconstructed,panel_terminal,True,2007-01,33,
SEDOL:B02WRW4,UK,Jupiter Second Enhanced Income,,2009-09,reconstructed,panel_terminal,True,2007-01,33,
SEDOL:B0K32V3,UK,Principle Capital,,2009-09,reconstructed,panel_terminal,True,2007-01,33,
SEDOL:B0PR328,UK,Northern Venture Trust VCT C shares,,2009-09,unresolved,panel_terminal,,2007-01,33,
SEDOL:B0WV9X6,UK,ProVen Growth and Income VCT C shares,,2009-09,unresolved,panel_terminal,,2007-01,33,
SEDOL:B0PKQN9,UK,Bluehone AIM VCT 2 C shares,,2009-10,unresolved,panel_terminal,,2007-01,34,
SEDOL:297437,UK,Directors' Dealing,,2009-11,unresolved,panel_terminal,,2008-05,19,
SEDOL:493990,UK,Allianz Dresdner Second Endowment 2009,,2009-11,unresolved,panel_terminal,,2006-12,36,
SEDOL:B0WGN95,UK,Edge Performance VCT,,2009-11,unresolved,panel_terminal,,2007-11,25,
SEDOL:B16KPY9,UK,Partners Group Global Opportunities,,2009-11,liquidated,panel_terminal,True,2008-05,19,
SEDOL:B1RZDH2,UK,JPMorgan Progressive Multi-Strategy (AIM),,2009-11,unresolved,panel_terminal,,2007-08,28,
SEDOL:B296Z74,UK,Origo Resource Partners (AIM),,2009-11,unresolved,panel_terminal,,2008-11,13,
SEDOL:3116153,UK,Acuity VCT,,2009-12,merged,panel_terminal,True,2007-01,36,
SEDOL:B063C84,UK,Tapestry,,2009-12,redeemed,panel_terminal,True,2007-01,36,
SEDOL:B1KR115,UK,Acuity VCT C shares,,2009-12,merged,panel_terminal,True,2007-03,34,
NAME:aim distribution trust vct|ordinary share,UK,AIM Distribution Trust VCT,,2010-02,unresolved,panel_terminal,,2007-01,38,
SEDOL:166399,UK,Income & Growth VCT,IGV,2010-02,unresolved,panel_terminal,,2007-04,35,
SEDOL:167518,UK,Advance UK,,2010-02,liquidated,panel_terminal,True,2006-12,39,
SEDOL:3091830,UK,Unicorn AIM VCT,UAV,2010-02,unresolved,panel_terminal,,2007-01,38,
SEDOL:3420672,UK,Unicorn AIM VCT Series 2 shares,,2010-02,unresolved,panel_terminal,,2007-01,38,
SEDOL:B03GW19,UK,Unicorn AIM VCT II,,2010-02,merged,panel_terminal,True,2007-01,38,
SEDOL:B05L0T6,UK,Pennine AIM VCT 5,,2010-02,merged,panel_terminal,True,2007-01,38,
SEDOL:B0LKM13,UK,Pennine AIM VCT 6,,2010-02,merged,panel_terminal,True,2007-01,38,
SEDOL:B0M2L66,UK,Unicorn AIM VCT II C shares,,2010-02,merged,panel_terminal,True,2007-01,38,
SEDOL:B06FN10,UK,Prodesse,,2010-03,liquidated,panel_terminal,True,2007-01,39,
SEDOL:3051823,UK,Pennine Downing AIM VCT 2,,2010-04,merged,panel_terminal,True,2007-01,40,
SEDOL:B0GYJV9,UK,Investec Capital Accumulator,,2010-04,liquidated,panel_terminal,True,2006-12,41,
SEDOL:B0JMRX8,UK,Matrix Income & Growth 3 VCT,,2010-04,merged,panel_terminal,True,2006-12,41,
SEDOL:B0WCHV3,UK,Ventus 3 VCT,,2010-04,merged,panel_terminal,True,2007-01,40,
SEDOL:156828,UK,F&C UK Select,,2010-05,liquidated,panel_terminal,True,2007-01,41,
SEDOL:B1XCLF1,UK,Aberdeen Private Equity USD,,2010-05,unresolved,panel_terminal,,2008-08,22,
SEDOL:3019627,UK,Octopus Second AIM VCT,,2010-07,merged,panel_terminal,True,2007-01,43,
SEDOL:3236299,UK,Octopus Phoenix VCT,,2010-07,merged,panel_terminal,True,2007-01,43,
SEDOL:B39VXT4,UK,MW TOPS Euro,,2010-07,liquidated,panel_terminal,True,2008-06,26,
SEDOL:B39VY02,UK,MW TOPS,,2010-07,liquidated,panel_terminal,True,2008-06,26,
SEDOL:B39VY13,UK,MW TOPS USD,,2010-07,liquidated,panel_terminal,True,2008-06,26,
SEDOL:B3NPKD5,UK,BlueCrest AllBlue USD C shares,,2010-07,unresolved,panel_terminal,,2009-12,8,
SEDOL:B3QFJX5,UK,BlueCrest AllBlue C shares,,2010-07,unresolved,panel_terminal,,2009-12,8,
SEDOL:B3RX4S8,UK,BlueCrest AllBlue Euro C shares,,2010-07,unresolved,panel_terminal,,2009-12,8,
SEDOL:890632,UK,Framlington Innovative Growth,,2010-08,liquidated,panel_terminal,True,2007-01,44,
SEDOL:923323,UK,Matrix Income & Growth 2 VCT,,2010-08,unresolved,panel_terminal,,2007-01,44,
SEDOL:B0634L1,UK,Puma VCT,,2010-08,liquidated,panel_terminal,True,2007-01,44,
SEDOL:B0634N3,UK,Puma VCT II,,2010-08,liquidated,panel_terminal,True,2007-01,44,
SEDOL:B1G17L3,UK,Ingenious Live VCT 1,,2010-08,unresolved,panel_terminal,,2007-07,38,
SEDOL:B1G17N5,UK,Ingenious Live VCT 2,,2010-08,unresolved,panel_terminal,,2007-07,38,
SEDOL:B292WH1,UK,Ingenious Entertainment VCT 1,,2010-08,unresolved,panel_terminal,,2009-05,16,
SEDOL:B292WQ0,UK,Ingenious Entertainment VCT 2,,2010-08,unresolved,panel_terminal,,2009-05,16,
SEDOL:B3D0WQ7,UK,Ingenious Entertainment VCT 1 C shares,,2010-08,unresolved,panel_terminal,,2009-05,16,
SEDOL:B3D0WR8,UK,Ingenious Entertainment VCT 2 C shares,,2010-08,unresolved,panel_terminal,,2009-05,16,
SEDOL:B598LZ1,UK,Ingenious Entertainment VCT 1 D shares,IE1D,2010-08,unresolved,panel_terminal,,2010-08,1,
SEDOL:B59YCM3,UK,Ingenious Entertainment VCT 2 D shares,IEVD,2010-08,unresolved,panel_terminal,,2010-08,1,
SEDOL:3095531,UK,Henderson Private Equity,,2010-09,unresolved,panel_terminal,,2007-01,45,
SEDOL:B0LM0M6,UK,INVESCO English & International,,2010-09,liquidated,panel_terminal,True,2007-01,45,
SEDOL:B1FCZR9,UK,Camper & Nicholsons Marina Investments (AIM),,2010-09,unresolved,panel_terminal,,2007-05,41,
SEDOL:B0LVM72,UK,Morant Wright Japan Income Trust,,2010-10,unresolved,panel_terminal,,2008-07,28,
SEDOL:B104VL6,UK,Melchior Japan,,2010-10,liquidated,panel_terminal,True,2007-01,46,
SEDOL:B4VQX50,UK,BlackRock Commodities Income C shares,,2010-10,unresolved,panel_terminal,,2010-09,2,
SEDOL:171315,UK,Candover,CDI,2010-11,unresolved,panel_terminal,,2007-01,47,
SEDOL:278175,UK,Allianz Dresdner Endowment Policy 2010,,2010-11,liquidated,panel_terminal,True,2006-12,48,
SEDOL:B07BP66,UK,Gartmore Growth Opportunities,,2010-11,merged,panel_terminal,True,2007-01,47,
SEDOL:B29LC01,UK,Premier Renewable Energy,,2010-11,reconstructed,panel_terminal,True,2008-03,33,
SEDOL:B29LG10,UK,Premier Renewable Energy,,2010-11,reconstructed,panel_terminal,True,2008-03,33,
SEDOL:341947,UK,Eclectic (AIM),,2010-12,unresolved,panel_terminal,,2006-12,49,
SEDOL:B1VVFG9,UK,Global Special Opportunities,,2010-12,liquidated,panel_terminal,True,2010-12,1,
SEDOL:B597WD3,UK,HSBC Infrastructure Company C shares,,2010-12,unresolved,panel_terminal,,2009-12,13,
NAME:asset management|ordinary share,UK,Asset Management,,2011-01,merged,panel_terminal,True,2007-01,49,
SEDOL:551092,UK,M&G Equity,,2011-01,reconstructed,panel_terminal,True,2007-01,49,
SEDOL:551166,UK,M&G Equity,,2011-01,reconstructed,panel_terminal,True,2007-01,49,
SEDOL:551199,UK,M&G Equity,,2011-01,reconstructed,panel_terminal,True,2007-01,49,
NAME:fidelity china special situations c|ordinary share,UK,Fidelity China Special Situations C shares,,2011-02,unresolved,panel_terminal,,2011-02,1,
SEDOL:615200,UK,Gartmore Irish Growth,,2011-02,liquidated,panel_terminal,True,2007-01,50,
SEDOL:B0BZVZ5,UK,Anglo & Overseas,,2011-02,reconstructed,panel_terminal,True,2007-01,50,
SEDOL:B0MV237,UK,Albion Technology & General VCT C shares,,2011-02,unresolved,panel_terminal,,2006-09,54,
SEDOL:B0ZQ8Q4,UK,Dexion Commodities,,2011-02,liquidated,panel_terminal,True,2008-06,33,
SEDOL:B0ZQ994,UK,Dexion Commodities Euro,,2011-02,liquidated,panel_terminal,True,2008-06,33,
SEDOL:B0ZQBH6,UK,Dexion Commodities USD,,2011-02,liquidated,panel_terminal,True,2008-06,33,
SEDOL:B0MSVZ3,UK,Castle Asia Alternative,,2011-03,liquidated,panel_terminal,True,2007-01,51,
SEDOL:B17MXW8,UK,Henderson Global Property Companies,,2011-03,reconstructed,panel_terminal,True,2006-12,52,
SEDOL:3031319,UK,Global Special Opportunities,,2011-04,liquidated,panel_terminal,True,2007-01,52,
SEDOL:3031331,UK,Global Special Opportunities,,2011-04,liquidated,panel_terminal,True,2007-01,52,
SEDOL:B084LP5,UK,Edinburgh New Income,,2011-04,liquidated,panel_terminal,True,2007-01,52,
