AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Asia Pacific - Excluding Japan,Aberdeen Asian Income,Ordinary Share,30/06/2010,B0P6J83,180793194,11408050,11408050,11408050,11408050,0,0,0,11408050,148.75,2048995,,,112100999,850000,0,0,N/A,3,107,104,N,100,169385144,167336149,149.27,144.5,,,,151.1,146.03,,,,149.27,144.5,,,,151.1,146.03,,,,5.34,3,6,6,23,0,9,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,178744199,,,"11/06/10 - Share issue of 350,000 shares at a cost of £514,551.50
15/06/10 - Share issue of 150,000 shares at a cost of £222,749.00
17/06/10 - Share issue of 100,000 shares at a cost of £148,994.00
24/06/10 - Share issue of 150,000 shares at a cost of £224,234.00
25/06/10 - Share issue of 100,000 shares at a cost of £148,746.50"
Asia Pacific - Excluding Japan,Aberdeen Asian Smaller Companies,Ordinary Share,30/06/2010,10076,194669550,5881960,5881960,5881960,5881960,0,0,0,5881960,461,3130786,,,31136615,0,25000,2186290,No,1,103,102,N,100,188787590,185656804,596.27,541.99,,,541.99,606.32,550.94,,,550.94,596.27,541.99,,,541.99,606.32,550.94,,,550.94,,1,1,16,13,1,0,0,68,0,0,0,0,0,0,0,0,0,59,0,0,0,41,0,-59,0,0,0,159,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,191538764,,,"Buyback of 25,000 shares @ 440.2p"
Asia Pacific - Excluding Japan,Aberdeen New Dawn,Ordinary Share,30/06/2010,5685,210535235,11029712,11029712,11029712,11029712,0,0,0,11029712,719.5,3634907,,,24909402,0,0,477731,No,-1,106,107,N,100,199505523,195870616,786.33,,,,786.33,800.92,,,,800.92,786.33,,,,786.33,800.92,,,,800.92,,-1,0,17,20,6,5,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,206900328,,,
Asia Pacific - Excluding Japan,Edinburgh Dragon,Ordinary Share,30/06/2010,294502,459013654,0,0,0,0,0,0,0,0,209.6,2774978,,,196311219,0,0,0,N/A,-1,100,101,N,100,459013654,456238676,232.41,,,,,233.82,,,,,232.41,,,,,233.82,,,,,,-1,0,21,20,8,6,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,456238676,,,
Asia Pacific - Excluding Japan,Fidelity Asian Values,Ordinary Share,30/06/2010,332231,122112538,6022081,6110396,6022081,6110396,0,0,0,6022081,173.75,-8541,,,60970159,27658,0,0,N/A,1,105,104,N,100,116090457,116098998,190.42,,,,,190.41,,,,,190.27,,,,,190.26,,,,,,1,0,24,9,22,15,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,122121079,,"On 3 February 2010 the Company entered into a US$15,000,000 364 day revolving credit facility with ING Bank N.V. As at 12 April 2010 the amount drawn down was US$9,000,000.","During the month 27,658 subscription shares were exercised at an exercise price of 191.00 pence per share for a total consideration of £52,826.78.
"
Asia Pacific - Excluding Japan,Henderson Far East Income,Ordinary Share,30/06/2010,B1GXH75,271688000,0,0,0,0,0,0,0,0,291,3159000,,,95130564,100000,0,0,N/A,0,100,100,N,100,271688000,268529000,282.27,,,,,285.59,,,,,282.27,,,,,285.59,,,,,,0,0,16,11,8,18,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,268529000,,,"100,000 shs issued 07.06.10 £288,550"
Asia Pacific - Excluding Japan,Henderson TR Pacific,Ordinary Share,30/06/2010,871079,318906000,26579000,26579000,26579000,26579000,0,0,0,26579000,163.25,2861000,,,161451407,0,0,0,N/A,1,109,108,N,100,292327000,289466000,179.29,,,,,181.06,,,,,179.29,,,,,181.06,,,,,,1,0,7,7,12,17,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,316045000,,,
Asia Pacific - Excluding Japan,INVESCO Asia,Ordinary Share,30/06/2010,453530,144765874,2500000,2500000,2500000,2500000,0,0,0,2500000,130.5,2940896,,,93837425,0,0,0,N/A,0,102,102,N,100,142265874,139324978,148.47,144.56,,,,151.61,147.17,,,,148.47,144.56,,,,151.61,147.17,,,,2,0,0,27,3,17,12,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,141824978,,FV of loan not materially different to PAR,
Asia Pacific - Excluding Japan,JPMorgan Asian,Ordinary Share,30/06/2010,132077,414053656,26736181,26736181,26736181,26736181,0,0,0,26736181,192,2099352,,,179254422,0,73217,0,N/A,4,107,103,N,100,387317475,385218123,214.9,212.48,,,,216.07,213.58,,,,214.9,212.48,,,,216.07,213.58,,,,1.31,4,0,19,14,13,8,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,411954304,,,
